id,Date,Year,Quarter,Month,Week,Country,Commodity Type,Commodity Category,Commodity,Movement,Units
149,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,I,Intermodal Traffic,IT,Received,446.0
150,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,C,Carload Traffic,10,Originated,1475.0
151,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,I,Intermodal Traffic,IC,Originated,17273.0
152,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,I,Intermodal Traffic,IT,Originated,2513.0
153,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,C,Carload Traffic,10,Received,841.0
154,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,I,Intermodal Traffic,IC,Received,3491.0
155,2000-06-26T00:00:00.000Z,2000,2,6,26,Canada,I,Intermodal Traffic,IT,Received,358.0
156,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,C,Carload Traffic,10,Originated,2823.0
157,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,I,Intermodal Traffic,IC,Originated,13978.0
158,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,I,Intermodal Traffic,IT,Originated,2647.0
159,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,C,Carload Traffic,10,Received,698.0
160,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,I,Intermodal Traffic,IC,Received,2361.0
161,2000-07-03T00:00:00.000Z,2000,3,7,27,Canada,I,Intermodal Traffic,IT,Received,318.0
162,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,C,Carload Traffic,10,Originated,
163,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,I,Intermodal Traffic,IC,Originated,15904.0
164,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,I,Intermodal Traffic,IT,Originated,3072.0
165,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,C,Carload Traffic,10,Received,777.0
166,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,I,Intermodal Traffic,IC,Received,1132.0
167,2000-07-10T00:00:00.000Z,2000,3,7,28,Canada,I,Intermodal Traffic,IT,Received,425.0
168,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,C,Carload Traffic,10,Originated,1251.0
169,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,I,Intermodal Traffic,IC,Originated,
170,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,I,Intermodal Traffic,IT,Originated,1895.0
171,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,C,Carload Traffic,10,Received,625.0
172,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,I,Intermodal Traffic,IC,Received,
173,2000-07-17T00:00:00.000Z,2000,3,7,29,Canada,I,Intermodal Traffic,IT,Received,
174,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,C,Carload Traffic,10,Originated,
175,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,I,Intermodal Traffic,IC,Originated,11960.0
176,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,I,Intermodal Traffic,IT,Originated,3855.0
177,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,C,Carload Traffic,10,Received,543.0
178,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,I,Intermodal Traffic,IC,Received,1768.0
179,2000-07-24T00:00:00.000Z,2000,3,7,30,Canada,I,Intermodal Traffic,IT,Received,350.0
180,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,C,Carload Traffic,10,Originated,
181,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,I,Intermodal Traffic,IC,Originated,18226.0
182,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,I,Intermodal Traffic,IT,Originated,2951.0
183,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,C,Carload Traffic,10,Received,259.0
184,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,I,Intermodal Traffic,IC,Received,2334.0
185,2000-07-31T00:00:00.000Z,2000,3,7,31,Canada,I,Intermodal Traffic,IT,Received,311.0
186,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,C,Carload Traffic,10,Originated,1559.0
187,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,I,Intermodal Traffic,IC,Originated,13076.0
188,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,I,Intermodal Traffic,IT,Originated,1989.0
189,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,C,Carload Traffic,10,Received,
190,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,I,Intermodal Traffic,IC,Received,
191,2000-08-07T00:00:00.000Z,2000,3,8,32,Canada,I,Intermodal Traffic,IT,Received,442.0
192,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,C,Carload Traffic,10,Originated,
193,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,I,Intermodal Traffic,IC,Originated,
194,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,I,Intermodal Traffic,IT,Originated,
195,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,C,Carload Traffic,10,Received,
196,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,I,Intermodal Traffic,IC,Received,1937.0
197,2000-08-14T00:00:00.000Z,2000,3,8,33,Canada,I,Intermodal Traffic,IT,Received,472.0
198,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,C,Carload Traffic,10,Originated,1704.0
199,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,I,Intermodal Traffic,IC,Originated,14687.0
200,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,I,Intermodal Traffic,IT,Originated,
201,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,C,Carload Traffic,10,Received,654.0
202,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,I,Intermodal Traffic,IC,Received,
203,2000-08-21T00:00:00.000Z,2000,3,8,34,Canada,I,Intermodal Traffic,IT,Received,
204,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,C,Carload Traffic,10,Originated,2568.0
205,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,I,Intermodal Traffic,IC,Originated,11515.0
206,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,I,Intermodal Traffic,IT,Originated,3136.0
207,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,C,Carload Traffic,10,Received,523.0
208,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,I,Intermodal Traffic,IC,Received,2784.0
209,2000-08-28T00:00:00.000Z,2000,3,8,35,Canada,I,Intermodal Traffic,IT,Received,393.0
210,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,C,Carload Traffic,10,Originated,1416.0
211,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,I,Intermodal Traffic,IC,Originated,16952.0
212,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,I,Intermodal Traffic,IT,Originated,2785.0
213,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,C,Carload Traffic,10,Received,
214,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,I,Intermodal Traffic,IC,Received,2692.0
215,2000-09-04T00:00:00.000Z,2000,3,9,36,Canada,I,Intermodal Traffic,IT,Received,
216,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,C,Carload Traffic,10,Originated,2267.0
217,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,I,Intermodal Traffic,IC,Originated,22697.0
218,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,I,Intermodal Traffic,IT,Originated,2597.0
219,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,C,Carload Traffic,10,Received,676.0
220,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,I,Intermodal Traffic,IC,Received,3600.0
221,2000-09-11T00:00:00.000Z,2000,3,9,37,Canada,I,Intermodal Traffic,IT,Received,429.0
222,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,C,Carload Traffic,10,Originated,2711.0
223,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,I,Intermodal Traffic,IC,Originated,22084.0
224,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,I,Intermodal Traffic,IT,Originated,2297.0
225,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,C,Carload Traffic,10,Received,
226,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,I,Intermodal Traffic,IC,Received,2539.0
227,2000-09-18T00:00:00.000Z,2000,3,9,38,Canada,I,Intermodal Traffic,IT,Received,298.0
228,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,C,Carload Traffic,10,Originated,2400.0
229,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,I,Intermodal Traffic,IC,Originated,11943.0
230,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,I,Intermodal Traffic,IT,Originated,
231,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,C,Carload Traffic,10,Received,750.0
232,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,I,Intermodal Traffic,IC,Received,
233,2000-09-25T00:00:00.000Z,2000,3,9,39,Canada,I,Intermodal Traffic,IT,Received,284.0
234,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,C,Carload Traffic,10,Originated,
235,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,I,Intermodal Traffic,IC,Originated,20102.0
236,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,I,Intermodal Traffic,IT,Originated,
237,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,C,Carload Traffic,10,Received,
238,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,I,Intermodal Traffic,IC,Received,2256.0
239,2000-10-02T00:00:00.000Z,2000,4,10,40,Canada,I,Intermodal Traffic,IT,Received,264.0
240,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,C,Carload Traffic,10,Originated,2234.0
241,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,I,Intermodal Traffic,IC,Originated,14408.0
242,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,I,Intermodal Traffic,IT,Originated,3375.0
243,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,C,Carload Traffic,10,Received,739.0
244,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,I,Intermodal Traffic,IC,Received,1985.0
245,2000-10-09T00:00:00.000Z,2000,4,10,41,Canada,I,Intermodal Traffic,IT,Received,
246,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,C,Carload Traffic,10,Originated,3452.0
247,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,I,Intermodal Traffic,IC,Originated,20812.0
248,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,I,Intermodal Traffic,IT,Originated,2600.0
249,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,C,Carload Traffic,10,Received,
250,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,I,Intermodal Traffic,IC,Received,2350.0
251,2000-10-16T00:00:00.000Z,2000,4,10,42,Canada,I,Intermodal Traffic,IT,Received,374.0
252,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,C,Carload Traffic,10,Originated,2827.0
253,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,I,Intermodal Traffic,IC,Originated,20016.0
254,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,I,Intermodal Traffic,IT,Originated,3123.0
255,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,C,Carload Traffic,10,Received,613.0
256,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,I,Intermodal Traffic,IC,Received,2837.0
257,2000-10-23T00:00:00.000Z,2000,4,10,43,Canada,I,Intermodal Traffic,IT,Received,320.0
258,2000-10-30T00:00:00.000Z,2000,4,10,44,Canada,C,Carload Traffic,10,Originated,
259,2000-10-30T00:00:00.000Z,2000,4,10,44,Canada,I,Intermodal Traffic,IC,Originated,15883.0
260,2000-10-30T00:00:00.000Z,2000,4,10,44,Canada,I,Intermodal Traffic,IT,Originated,3567.0
